POSTED DATE,TRANSACTION DATE,TRANSACTION TIME,TOLL TAG # / PLATE #,EXIT PLAZA,EXIT LANE,ENTRY DATE/TIME,ENTRY PLAZA,ENTRY LANE,DEBIT(-),CREDIT(+),BALANCE,,,,,,,,,,,,,,,,,
12/28/2021,12/28/2021,01:01:34 AM,-,Payments,-,-,-,-,-,$190.00,$212.50,
12/27/2021,12/15/2021,06:13:22 PM,01455110906,I-880 Hesperian/238 NB,01,12/15/2021 06:03:25 PM,I-880 Whipple NB,01,$14.00,-,$22.50,
12/27/2021,12/17/2021,08:26:22 AM,6MKY397-CA,Dumbarton Bridge,01,-,-,-,$6.00,-,$36.50,
12/27/2021,12/15/2021,08:43:42 AM,01455110906,I-880 Thornton SB,01,12/15/2021 08:31:37 AM,I-880 Washington/238 Zn SB,01,$15.25,-,$42.50,
12/27/2021,12/14/2021,06:15:15 PM,01455110906,I-880 Hesperian/238 NB,01,12/14/2021 06:06:09 PM,I-880 Whipple NB,01,$14.00,-,$57.75,
12/27/2021,12/14/2021,07:50:00 AM,01455110906,I-880 Thornton SB,01,12/14/2021 07:32:45 AM,I-880 Washington/238 Zn SB,01,$17.75,-,$71.75,
12/27/2021,12/13/2021,08:35:39 AM,01455110906,I-880 Thornton SB,01,12/13/2021 08:17:26 AM,I-880 Washington/238 Zn SB,01,$17.50,-,$89.50,
12/25/2021,12/21/2021,08:47:48 AM,6MKY397-CA,Dumbarton Bridge,06,-,-,-,$6.00,-,$107.00,
12/24/2021,12/10/2021,12:53:48 PM,01455110906,I-880 Hesperian/238 NB,01,12/10/2021 12:47:14 PM,I-880 Whipple NB,01,$3.75,-,$113.00,
12/24/2021,12/10/2021,07:57:24 AM,01455110906,I-880 Thornton SB,01,12/10/2021 07:43:21 AM,I-880 Washington/238 Zn SB,01,$17.25,-,$116.75,
12/24/2021,12/09/2021,06:59:50 PM,01455110906,I-880 Hesperian/238 NB,01,12/09/2021 06:51:06 PM,I-880 Whipple NB,01,$13.00,-,$134.00,
12/24/2021,12/09/2021,09:10:42 AM,01455110906,I-880 Thornton SB,01,12/09/2021 08:58:01 AM,I-880 Washington/238 Zn SB,01,$11.00,-,$147.00,
12/22/2021,12/22/2021,07:37:08 AM,01455110906,Dumbarton Bridge,04,-,-,-,$6.00,-,$158.00,
12/22/2021,12/15/2021,08:47:51 AM,6MKY397-CA,Dumbarton Bridge,04,-,-,-,$6.00,-,$164.00,
12/22/2021,12/16/2021,08:39:18 AM,6MKY397-CA,Dumbarton Bridge,06,-,-,-,$6.00,-,$170.00,
12/20/2021,12/08/2021,06:32:18 PM,01455110906,I-880 Hesperian/238 NB,01,12/08/2021 06:22:38 PM,I-880 Whipple NB,01,$14.00,-,$176.00,
12/20/2021,12/08/2021,08:48:42 AM,01455110906,I-880 Thornton SB,01,12/08/2021 08:36:50 AM,I-880 Washington/238 Zn SB,01,$12.50,-,$190.00,
12/19/2021,12/07/2021,08:22:11 AM,01455110906,I-880 Thornton SB,01,12/07/2021 08:10:30 AM,I-880 Washington/238 Zn SB,01,$14.50,-,$202.50,
12/18/2021,12/06/2021,06:45:48 PM,01455110906,I-880 Hesperian/238 NB,01,12/06/2021 06:39:04 PM,I-880 Whipple NB,01,$12.00,-,$217.00,
12/18/2021,12/06/2021,08:26:44 AM,01455110906,I-880 Thornton SB,01,12/06/2021 08:14:23 AM,I-880 Washington/238 Zn SB,01,$15.75,-,$229.00,
12/18/2021,12/14/2021,07:54:38 AM,6MKY397-CA,Dumbarton Bridge,05,-,-,-,$6.00,-,$244.75,
12/18/2021,12/13/2021,08:41:09 AM,6MKY397-CA,Dumbarton Bridge,06,-,-,-,$6.00,-,$250.75,
