,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
K,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,NTC,NTC
K,Sample,06881667,10384420,07546343,10384471,06883416,10390027,08506723,10390043,06881595,10384431,06723624,10384393,06723573,10384419,06881628,10389965,08665684,10384515,06876500,10389973,07544922,10390004,10313006,10312888
K,Cq,25.961035252617,26.22217137052,24.4272390667929,26.5856671815066,21.9526070627578,24.0450826842178,22.4243523378807,26.9379010621019,25.1800485137854,20.6369976750988,25.5979971504158,21.7895523203855,27.7613157953291,23.8890145735435,20.9437459166975,21.4111060721477,21.1678276848494,19.9470501526479,23.9301755926452,23.4641162783907,24.6529830149083,26.2432047660471,NaN,NaN
K,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
L,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,NTC,NTC
L,Sample,10221375,08595292,10221347,07821046,10221385,08613787,08792867,07662958,10216472,07819387,08787286,08612579,07888444,08613267,08784709,08595859,08783403,08615434,08784771,08476633,08527995,08570279,10313191,10313127
L,Cq,31.0677224814335,26.2228409433539,25.319424960528,22.5330649386823,24.0036151568593,24.7002771461925,24.7943519558449,24.6158869314958,26.3177373531534,19.3157563247755,20.9551518386006,27.7317533288315,23.8654908942167,23.549826265006,24.4492831746246,28.4633181092003,25.6203773011632,20.7355011290932,18.6116214281082,24.6332750813277,21.6296113491745,25.8364713894113,NaN,NaN
L,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
M,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Neg Ctrl,Neg Ctrl
M,Sample,06881645,10390013,07544315,10389997,07546473,10384513,08673600,10310015,06723569,10384400,07544938,10384414,06883567,10384385,06881659,10384511,06881647,10384483,06881603,10358351,08506748,10384397,07861955,08811636
M,Cq,22.8670250079404,23.7588316106257,22.5176921818853,21.4852402453524,25.6285400835003,22.459890717192,23.5382396550232,24.5639532160191,26.4356710324268,25.6246628050075,24.5046625464533,22.4966043692749,25.4491372055868,22.9493883312577,28.5167924543906,22.4693097934952,22.2025602222453,22.7508280308038,20.7593807067204,23.341973001366,22.9300987603477,23.9388742334592,23.1215484172046,23.3040053110982
M,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
N,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Neg Ctrl,Neg Ctrl
N,Sample,08719663,08614538,10221373,07573154,10221319,07805484,08782196,07830786,08524933,07507844,08529506,08564000,08861886,08614321,07135335,08563865,08784696,07822380,07646175,08759271,10216448,07819828,08811521,07857359
N,Cq,25.1130913971704,25.8593294676261,25.203258015121,26.960912462781,25.6482533949338,21.6130882300824,21.1003597114144,21.0965416445255,23.789468097179,21.1768909161922,23.7878396353962,24.7970738755023,21.0619677337201,21.2570179806711,24.6924200067707,23.3056748233763,20.4753247876128,19.8307216535585,20.7038781344257,20.6457401359508,NaN,19.4487154876967,23.2009916571887,23.3063642208062
N,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Pos Ctrl,Pos Ctrl
O,Sample,06881675,10390010,06881689,10389979,07543684,10390023,07544471,10390041,08508182,10389987,06883572,10384395,06883592,10384438,08668626,10389974,06881625,10384426,08669219,10384526,06723602,10384357,07823538,07824815
O,Cq,28.0380139985994,24.1715623137741,23.7294357673306,23.1897241268317,25.8838661655386,23.119744142336,25.7167184830187,21.1684579870696,24.9192032001479,22.6884850029193,25.5318851536678,23.6995242320174,26.3639044220269,23.952903641476,23.5840216568378,21.2739863435291,22.5002419778805,19.9140628119552,26.850102490403,26.4503708741647,25.6097604714696,24.6452167179629,22.6271069917114,22.7428923095627
O,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Pos Ctrl,Pos Ctrl
P,Sample,07762782,08563886,07763821,08614497,08786373,07807225,08790940,07819402,08528124,08615859,10249602,08563820,08867743,08572737,08866547,08574059,07649653,08758625,08868028,08570708,08792795,07831090,07823672,08781174
P,Cq,23.0695312685471,23.4915674319786,25.5225741773327,21.7355780293992,25.9695685666921,22.8452526985516,23.5577536348204,22.9856082421897,23.2283451928418,23.0077354793829,23.3016580900138,27.5852108128946,22.7044656345505,28.504755687138,23.7631250708819,24.1671274761276,25.1404793071772,23.8934634383974,23.5593345563841,21.4210089634684,23.7939142433236,23.0051797567934,22.7501617195258,22.7247542594679
P,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
